height,weight,age
175.78,72.27,44
168.3,55.67,17
179.83,57.75,28
170.05,44.18,66
153.93,47.3,53
158.57,65.41,68
166.86,57.51,42
156.28,59.76,39
153.65,67.37,51
174.11,61.81,54
175.5,76.44,60
163.36,48.16,17
176.48,62.48,58
150.96,60.31,20
167.93,74.91,63
152.88,73.0,69
157.11,52.71,20
165.06,69.34,61
168.28,53.17,18
173.08,68.17,46
160.44,49.31,36
158.41,56.74,29
162.97,69.21,58
150.36,60.85,13
165.73,61.1,38
164.58,60.78,69
178.63,63.9,53
155.91,56.77,25
152.78,52.57,52
159.99,49.95,51
154.64,59.3,47
150.77,58.27,70
154.53,74.5,39
156.04,49.65,49
164.3,75.44,66
177.33,53.68,17
167.65,72.24,26
174.7,76.77,15
175.91,76.73,24
170.42,45.65,45
174.7,75.42,22
150.21,70.14,46
152.69,55.65,53
175.06,53.76,46
177.19,71.16,64
152.6,65.12,30
164.94,67.65,60
160.96,58.71,14
176.39,47.98,41
154.01,66.38,19
152.05,45.18,31
151.67,64.1,18
150.6,57.91,13
159.1,50.79,31
171.68,53.88,43
178.85,46.02,66
170.2,66.24,20
163.44,77.97,49
167.7,71.09,31
162.67,44.88,19
175.22,53.79,28
163.78,52.11,24
163.45,55.59,32
173.37,48.3,22
165.13,56.39,28
169.65,59.87,67
164.34,72.56,53
162.89,62.45,60
161.24,58.29,14
158.95,70.19,26
166.77,73.73,61
152.82,57.49,67
179.34,44.52,37
150.01,50.69,48
163.55,67.58,53
176.69,74.27,54
157.75,65.55,34
173.22,47.19,44
175.72,75.66,61
166.64,73.7,53
163.97,50.6,27
178.74,49.98,21
163.61,51.42,64
165.66,63.53,52
165.67,64.52,49
163.41,62.01,27
152.76,78.78,38
151.86,54.04,69
178.83,46.72,26
167.47,75.67,67
173.14,73.81,19
153.27,67.82,51
170.78,44.77,54
153.06,74.86,65
175.33,64.4,68
166.21,66.23,70
165.52,54.27,61
170.47,64.24,23
173.86,78.9,34
177.63,48.01,60
175.87,49.29,32
176.62,71.11,62
150.15,78.97,62
167.32,51.26,55
174.71,44.09,55
156.39,53.9,50
170.81,77.44,58
177.85,57.7,66
156.16,57.37,44
161.34,44.33,66
160.02,73.75,29
151.15,76.75,65
163.85,73.78,46
163.88,49.38,63
168.6,69.01,44
162.1,58.02,48
159.47,53.06,28
177.86,77.6,46
150.38,53.97,60
167.95,75.46,33
179.02,50.16,53
174.1,77.02,48
152.42,64.18,48
170.19,62.67,49
163.47,69.47,22
175.98,65.14,14
158.79,75.91,60
178.42,71.83,70
169.85,63.18,29
150.59,59.83,64
172.46,66.7,66
151.15,69.03,29
156.95,79.28,20
154.37,51.98,33
172.36,66.58,51
156.06,66.01,31
157.88,50.34,55
173.88,50.96,14
167.34,49.52,61
154.6,44.88,31
172.14,49.98,66
173.87,60.61,49
154.3,57.87,42
176.05,52.6,51
170.24,55.27,17
151.31,65.37,54
157.5,75.45,70
179.35,74.07,35
150.94,56.9,62
179.05,73.75,53
163.48,51.07,34
153.84,53.08,25
169.18,49.06,18
174.44,66.29,52
172.42,53.76,44
168.84,61.09,70
157.17,71.62,54
169.95,61.24,69
150.69,67.9,36
164.4,60.46,58
173.33,65.25,27
158.7,47.05,31
155.74,53.08,32
177.53,68.16,61
170.49,60.24,58
177.07,49.38,27
157.21,58.84,15
169.44,59.54,22
157.13,55.62,55
171.77,73.36,25
156.33,75.22,67
168.16,71.77,36
163.2,72.99,69
154.3,60.77,19
166.26,79.78,32
152.1,64.04,45
160.64,54.13,53
179.63,59.16,57
160.74,52.94,18
155.39,47.56,70
167.05,48.99,33
168.01,50.85,30
152.91,46.38,24
155.72,51.14,63
167.1,46.71,57
173.48,77.87,60
179.44,78.06,46
169.78,65.34,45
162.24,60.92,27
156.93,70.63,45
177.24,67.27,16
175.1,71.08,45
165.01,54.46,63
172.95,79.34,55
163.01,55.3,52
179.13,71.61,40
153.39,48.82,40
163.45,76.77,32
155.81,79.42,54
151.73,68.47,47
160.3,75.32,26
168.01,61.8,28
176.57,48.09,21
160.44,51.79,17
166.41,59.26,21
161.79,55.35,19
167.31,75.36,43
156.7,58.56,36
161.48,58.48,34
177.52,74.4,22
166.45,45.0,40
154.57,52.71,39
174.01,45.85,69
153.47,75.09,50
151.88,60.33,55
156.69,60.37,36
165.76,59.12,16
162.89,47.96,19
151.93,61.56,62
160.58,75.58,58
169.38,48.58,63
166.64,74.77,45
171.71,49.13,14
150.78,60.08,23
157.72,57.34,22
177.16,77.2,69
178.39,46.05,55
160.46,63.27,56
158.24,45.52,53
175.91,73.08,17
169.87,79.53,20
153.14,60.09,23
169.34,53.88,67
174.58,52.14,70
155.4,68.79,41
164.67,76.92,68
162.36,55.0,37
171.5,78.85,20
165.26,66.52,67
152.92,66.75,52
162.67,70.57,14
174.35,56.3,68
151.0,62.83,36
161.79,77.77,50
154.58,65.29,55
174.04,54.51,17
155.59,45.9,27
171.89,58.69,34
163.58,68.98,63
173.24,70.58,67
158.23,45.27,59
177.17,79.42,36
155.09,67.89,45
161.38,54.82,44
162.52,51.1,34
165.07,45.35,57
160.42,58.96,26
154.27,64.36,46
176.56,73.77,64
177.38,50.57,53
172.88,60.18,61
169.53,68.02,23
160.4,51.32,28
177.84,78.23,31
158.63,75.78,64
155.77,64.33,36
176.5,61.52,57
165.22,58.13,18
176.16,75.51,56
158.81,49.65,32
151.73,64.42,15
163.86,65.23,49
156.91,61.02,46
170.78,58.83,46
159.69,60.24,18
151.32,62.67,42
173.93,78.59,70
164.29,63.27,33
162.16,78.99,65
